conceptidprognosyrke;fa15nr;bedömning23;bedömning26;yrkesverksamma_antal;andel_kvinnor;andel_män;special;tillträde;pension;efterfråga;pil_2022_tilltr;pil_2026_tilltr;pil_2022_pension;pil_2026_pension;pil_2022_efterfråga;pil_2026_efterfråga;index;svårare_fa15nr;lättare_fa15nr;;;
1fWd_GB6_UgS;24;;;;;;;;;;1,03;1,04;0,25;1,72;1,03;1,07;;;;;;
1fWd_GB6_UgS;25;;;;;;;;;;1,05;1,05;0,33;1,66;1,00;1,07;;;;;;
1fWd_GB6_UgS;26;;;;;;;;;;1,01;1,03;0,18;1,16;0,84;1,07;;;;;;
1fWd_GB6_UgS;27;;;;;;;;;;1,03;1,03;0,29;1,76;0,93;1,07;;;;;;
1fWd_GB6_UgS;28;;;;;;;;;;1,01;1,02;0,00;;1,22;1,07;;;;;;
1fWd_GB6_UgS;29;;;;;;;;;;1,02;1,04;;;;;;;;;;
1fWd_GB6_UgS;30;;;;;;;;;;1,04;1,07;0,29;0,00;1,63;1,07;;;;;;
1fWd_GB6_UgS;31;;;;;;;;;;1,07;1,11;;;;;;;;;;
1fWd_GB6_UgS;32;;;;;;;;;;1,00;1,01;0,00;;1,01;1,07;;;;;;
1fWd_GB6_UgS;33;;;;;;;;;;1,04;1,05;0,07;0,24;0,95;1,07;;;;;;
1fWd_GB6_UgS;34;;;;;;;;;;1,03;1,03;0,35;0,93;0,90;1,07;;;;;;
1fWd_GB6_UgS;35;;;;;;;;;;1,06;1,07;0,00;;1,15;1,07;;;;;;
1fWd_GB6_UgS;36;;;;;;;;;;1,03;1,03;0,29;1,84;1,09;1,07;;;;;;
1fWd_GB6_UgS;37;;;;;;;;;;1,02;1,01;0,00;2,00;1,15;1,07;;;;;;
1fWd_GB6_UgS;38;;;;;;;;;;1,07;1,06;0,24;0,00;1,31;1,07;;;;;;
1fWd_GB6_UgS;39;;;;;;;;;;1,08;1,09;0,12;1,28;1,14;1,07;;;;;;
1fWd_GB6_UgS;40;;;;;;;;;;1,09;1,11;;;;;;;;;;
1fWd_GB6_UgS;41;;;;;;;;;;1,03;1,03;0,57;1,04;1,06;1,07;;;;;;
1fWd_GB6_UgS;42;;;;;;;;;;1,04;1,03;0,27;0,88;0,96;1,07;;;;;;
1fWd_GB6_UgS;43;;;;;;;;;;1,02;1,02;0,00;;1,28;1,07;;;;;;
1fWd_GB6_UgS;44;;;;;;;;;;1,04;1,05;0,03;0,66;1,10;1,07;;;;;;
1fWd_GB6_UgS;45;;;;;;;;;;1,00;1,03;0,15;0,54;1,23;1,07;;;;;;
1fWd_GB6_UgS;46;;;;;;;;;;1,07;1,09;0,07;0,00;1,41;1,07;;;;;;
1fWd_GB6_UgS;47;;;;;;;;;;1,13;1,16;;;;;;;;;;
1fWd_GB6_UgS;48;;;;;;;;;;1,03;1,02;0,43;0,67;0,89;1,07;;;;;;
1fWd_GB6_UgS;49;;;;;;;;;;1,07;1,10;0,07;0,00;1,63;1,07;;;;;;
1fWd_GB6_UgS;50;;;;;;;;;;1,13;1,13;0,00;;0,86;1,07;;;;;;
1fWd_GB6_UgS;51;;;;;;;;;;1,15;1,17;0,00;;1,86;1,07;;;;;;
1fWd_GB6_UgS;52;;;;;;;;;;1,02;1,03;0,10;2,00;0,81;1,07;;;;;;
1fWd_GB6_UgS;53;;;;;;;;;;1,15;1,16;;;;;;;;;;
1fWd_GB6_UgS;54;;;;;;;;;;1,06;1,07;;;;;;;;;;
1fWd_GB6_UgS;55;;;;;;;;;;1,03;1,02;0,32;0,90;0,87;1,07;;;;;;
1fWd_GB6_UgS;56;;;;;;;;;;1,14;1,14;;;;;;;;;;
1fWd_GB6_UgS;57;;;;;;;;;;1,16;1,17;0,00;;0,96;1,07;;;;;;
1fWd_GB6_UgS;58;;;;;;;;;;1,00;1,01;0,00;;0,75;1,07;;;;;;
1fWd_GB6_UgS;59;;;;;;;;;;1,00;1,01;0,00;;1,11;1,07;;;;;;
1fWd_GB6_UgS;60;;;;;;;;;;0,99;0,99;0,27;0,79;0,90;1,07;;;;;;
1JfT_7TR_tqA;0;2;2;18053;56;44;4;3;3;3;1,13;1,11;0,73;1,00;1,03;1,03;;;;;;
1JfT_7TR_tqA;1;;;;;;;;;;1,13;1,10;0,63;1,10;1,03;1,04;1;;;;;
1JfT_7TR_tqA;2;;;;;;;;;;1,11;1,07;0,31;1,01;1,01;1,01;5;;;;;
1JfT_7TR_tqA;3;;;;;;;;;;1,09;1,04;0,94;1,17;1,01;1,01;4;;;;;
1JfT_7TR_tqA;4;;;;;;;;;;1,05;1,07;0,18;0,25;1,02;1,02;0;;;;;
1JfT_7TR_tqA;5;;;;;;;;;;1,12;1,09;0,78;0,89;1,03;1,04;0;;;;;
1JfT_7TR_tqA;6;;;;;;;;;;1,16;1,09;0,35;2,00;1,03;1,04;3;2;1;;;
1JfT_7TR_tqA;7;;;;;;;;;;1,17;1,11;0,16;2,00;1,01;1,01;0;;;;;
1JfT_7TR_tqA;8;;;;;;;;;;1,20;1,15;1,02;1,25;1,03;1,04;4;;;;;
1JfT_7TR_tqA;9;;;;;;;;;;1,16;1,11;1,02;1,10;1,03;1,03;5;;;;;
1JfT_7TR_tqA;10;;;;;;;;;;1,05;1,01;0,03;1,20;1,00;1,00;0;;;;;
1JfT_7TR_tqA;11;;;;;;;;;;1,26;1,17;1,12;1,08;1,01;1,01;0;;;;;
1JfT_7TR_tqA;12;;;;;;;;;;1,17;1,12;0,00;;0,98;0,98;0;;;;;
1JfT_7TR_tqA;13;;;;;;;;;;1,18;1,14;0,45;2,00;1,03;1,04;5;;;;;
1JfT_7TR_tqA;14;;;;;;;;;;1,11;1,06;0,31;1,62;1,02;1,01;2;;;;;
1JfT_7TR_tqA;15;;;;;;;;;;1,13;1,09;0,75;1,04;1,03;1,03;2;;;;;
1JfT_7TR_tqA;16;;;;;;;;;;1,13;1,08;0,32;1,01;1,00;1,00;3;27;15;;;
1JfT_7TR_tqA;17;;;;;;;;;;1,26;1,13;0,35;0,58;1,01;1,01;0;;;;;
1JfT_7TR_tqA;18;;;;;;;;;;1,21;1,14;0,79;1,32;1,01;1,01;4;;;;;
1JfT_7TR_tqA;19;;;;;;;;;;1,08;1,05;0,43;1,45;1,02;1,03;1;;;;;
1JfT_7TR_tqA;20;;;;;;;;;;1,22;1,15;1,05;1,17;1,03;1,03;0;;;;;
1JfT_7TR_tqA;21;;;;;;;;;;1,19;1,11;0,15;1,17;1,01;1,01;1;;;;;
1JfT_7TR_tqA;22;;;;;;;;;;1,17;1,10;0,77;1,37;1,02;1,02;5;;;;;
1JfT_7TR_tqA;23;;;;;;;;;;1,13;1,10;0,67;0,92;1,04;1,04;2;;;;;
1JfT_7TR_tqA;24;;;;;;;;;;1,15;1,10;0,32;1,77;1,02;1,02;4;;;;;
1JfT_7TR_tqA;25;;;;;;;;;;1,13;1,10;0,67;1,23;1,03;1,03;3;27;19;;;
1JfT_7TR_tqA;26;;;;;;;;;;1,12;1,08;0,59;0,89;1,00;1,00;0;;;;;
1JfT_7TR_tqA;27;;;;;;;;;;1,12;1,08;0,45;1,16;1,01;1,01;5;;;;;
1JfT_7TR_tqA;28;;;;;;;;;;1,18;1,09;0,36;1,33;0,99;0,98;0;;;;;
1JfT_7TR_tqA;29;;;;;;;;;;0,93;0,99;0,64;0,76;0,96;0,95;0;;;;;
1JfT_7TR_tqA;30;;;;;;;;;;1,06;1,02;0,18;0,00;;;0;;;;;
1JfT_7TR_tqA;31;;;;;;;;;;1,07;1,08;0,33;0,00;0,99;0,99;0;;;;;
1JfT_7TR_tqA;32;;;;;;;;;;1,08;1,06;0,36;1,43;1,00;1,00;0;;;;;
1JfT_7TR_tqA;33;;;;;;;;;;1,10;1,07;0,01;1,14;0,99;0,99;0;;;;;
1JfT_7TR_tqA;34;;;;;;;;;;1,19;1,14;0,26;1,16;1,01;1,01;2;;;;;
1JfT_7TR_tqA;35;;;;;;;;;;1,20;1,14;1,09;1,10;1,00;1,00;0;;;;;
1JfT_7TR_tqA;36;;;;;;;;;;1,15;1,10;0,96;1,00;1,01;1,01;3;23;22;;;
1JfT_7TR_tqA;37;;;;;;;;;;1,19;1,12;0,46;0,99;0,99;0,99;0;;;;;
1JfT_7TR_tqA;38;;;;;;;;;;1,23;1,15;0,15;1,15;1,00;0,99;1;;;;;
1JfT_7TR_tqA;39;;;;;;;;;;1,23;1,21;0,00;;0,99;0,99;0;;;;;
1JfT_7TR_tqA;40;;;;;;;;;;1,11;1,13;0,16;0,41;0,99;0,99;0;;;;;
1JfT_7TR_tqA;41;;;;;;;;;;1,17;1,12;0,66;1,00;1,02;1,02;1;;;;;
1JfT_7TR_tqA;42;;;;;;;;;;1,14;1,10;0,28;2,00;1,00;1,00;2;;;;;
1JfT_7TR_tqA;43;;;;;;;;;;1,14;1,12;0,28;1,39;0,97;0,96;0;;;;;
1JfT_7TR_tqA;44;;;;;;;;;;1,15;1,10;0,89;1,08;1,01;1,00;0;;;;;
1JfT_7TR_tqA;45;;;;;;;;;;1,05;1,04;0,10;0,85;0,96;0,96;0;;;;;
1JfT_7TR_tqA;46;;;;;;;;;;1,04;1,03;0,00;;;;0;;;;;
1JfT_7TR_tqA;47;;;;;;;;;;1,65;1,39;;;0,99;1,00;0;;;;;
1JfT_7TR_tqA;48;;;;;;;;;;1,10;1,05;0,78;1,68;1,02;1,03;1;;;;;
1JfT_7TR_tqA;49;;;;;;;;;;1,03;1,01;0,61;0,91;0,99;0,99;0;;;;;
1JfT_7TR_tqA;50;;;;;;;;;;1,25;1,15;0,00;;;;0;;;;;
1JfT_7TR_tqA;51;;;;;;;;;;1,18;1,12;0,00;;;;0;;;;;
1JfT_7TR_tqA;52;;;;;;;;;;1,19;1,13;0,12;1,51;1,00;1,00;3;55;48;;;
1JfT_7TR_tqA;53;;;;;;;;;;0,87;0,90;0,12;1,88;0,98;0,98;0;;;;;
1JfT_7TR_tqA;54;;;;;;;;;;0,98;0,99;0,00;;0,97;0,98;0;;;;;
1JfT_7TR_tqA;55;;;;;;;;;;1,15;1,11;0,52;0,70;0,99;0,99;4;;;;;
1JfT_7TR_tqA;56;;;;;;;;;;1,25;1,19;0,00;;0,97;0,95;0;;;;;
1JfT_7TR_tqA;57;;;;;;;;;;1,19;1,24;0,00;;;;0;;;;;
1JfT_7TR_tqA;58;;;;;;;;;;1,01;0,98;0,00;;;;0;;;;;
1JfT_7TR_tqA;59;;;;;;;;;;1,12;1,02;0,86;0,95;0,96;0,95;0;;;;;
1JfT_7TR_tqA;60;;;;;;;;;;1,06;1,01;0,60;0,65;0,98;0,97;0;;;;;
1Uj2_6JM_zuz;0;2;3;16712;22;78;;3;3;3;1,04;1,05;1,14;1,23;1,11;1,19;;;;;;
1Uj2_6JM_zuz;1;;;;;;;;;;1,07;1,06;1,13;1,27;1,13;1,19;2;;;;;
1Uj2_6JM_zuz;2;;;;;;;;;;1,03;1,02;1,00;1,17;1,09;1,19;5;;;;;
1Uj2_6JM_zuz;3;;;;;;;;;;1,02;1,02;0,87;1,31;1,06;1,19;3;2;1;;;
1Uj2_6JM_zuz;4;;;;;;;;;;1,12;1,12;0,84;1,15;1,88;1,19;0;;;;;
1Uj2_6JM_zuz;5;;;;;;;;;;1,08;1,07;0,33;2,00;0,99;1,19;0;;;;;
1Uj2_6JM_zuz;6;;;;;;;;;;1,04;1,04;0,98;0,90;1,19;1,19;3;2;1;;;
1Uj2_6JM_zuz;7;;;;;;;;;;1,04;1,03;0,45;0,97;1,26;1,19;0;;;;;
1Uj2_6JM_zuz;8;;;;;;;;;;1,06;1,06;0,87;1,42;1,15;1,19;5;;;;;
1Uj2_6JM_zuz;9;;;;;;;;;;1,05;1,05;0,73;1,54;0,95;1,19;5;;;;;
1Uj2_6JM_zuz;10;;;;;;;;;;1,00;1,01;0,04;1,20;1,11;1,19;0;;;;;
1Uj2_6JM_zuz;11;;;;;;;;;;1,05;1,07;0,08;2,00;1,17;1,19;0;;;;;
1Uj2_6JM_zuz;12;;;;;;;;;;1,01;1,00;0,33;0,09;1,06;1,19;0;;;;;
1Uj2_6JM_zuz;13;;;;;;;;;;1,05;1,05;1,03;1,50;1,12;1,19;2;;;;;
1Uj2_6JM_zuz;14;;;;;;;;;;1,05;1,03;0,75;1,68;1,09;1,19;4;;;;;
1Uj2_6JM_zuz;15;;;;;;;;;;1,06;1,05;1,11;1,23;1,12;1,19;3;14;1;;;
1Uj2_6JM_zuz;16;;;;;;;;;;1,02;1,01;0,94;1,45;1,12;1,19;4;;;;;
1Uj2_6JM_zuz;17;;;;;;;;;;1,05;1,05;0,17;1,94;1,05;1,19;0;;;;;
1Uj2_6JM_zuz;18;;;;;;;;;;1,04;1,03;0,90;1,07;1,07;1,19;4;;;;;
1Uj2_6JM_zuz;19;;;;;;;;;;1,05;1,04;1,07;1,21;1,10;1,19;1;;;;;
1Uj2_6JM_zuz;20;;;;;;;;;;1,05;1,07;0,78;0,97;1,11;1,19;0;;;;;
1Uj2_6JM_zuz;21;;;;;;;;;;1,03;1,04;0,56;0,87;1,10;1,19;0;;;;;
1Uj2_6JM_zuz;22;;;;;;;;;;1,03;1,02;0,92;0,96;1,09;1,19;4;;;;;
1Uj2_6JM_zuz;23;;;;;;;;;;1,07;1,06;1,09;1,21;1,12;1,19;1;;;;;
1Uj2_6JM_zuz;24;;;;;;;;;;1,05;1,05;0,98;0,97;1,10;1,19;3;25;23;;;
1Uj2_6JM_zuz;25;;;;;;;;;;1,05;1,04;0,83;1,13;1,12;1,19;4;;;;;
1Uj2_6JM_zuz;26;;;;;;;;;;1,05;1,05;0,58;1,30;1,06;1,19;0;;;;;
1Uj2_6JM_zuz;27;;;;;;;;;;1,04;1,03;1,04;0,97;1,12;1,19;3;25;34;;;
1Uj2_6JM_zuz;28;;;;;;;;;;1,02;1,02;0,88;0,92;1,05;1,19;0;;;;;
1Uj2_6JM_zuz;29;;;;;;;;;;1,04;1,04;;;;;0;;;;;
1Uj2_6JM_zuz;30;;;;;;;;;;1,07;1,10;0,30;0,00;1,28;1,19;0;;;;;
1Uj2_6JM_zuz;31;;;;;;;;;;1,09;1,12;0,13;1,05;1,53;1,19;0;;;;;
1Uj2_6JM_zuz;32;;;;;;;;;;1,01;1,01;0,24;0,25;1,13;1,19;0;;;;;
1Uj2_6JM_zuz;33;;;;;;;;;;1,02;1,03;0,30;1,35;1,08;1,19;0;;;;;
1Uj2_6JM_zuz;34;;;;;;;;;;1,04;1,03;0,97;0,95;1,10;1,19;1;;;;;
1Uj2_6JM_zuz;35;;;;;;;;;;1,08;1,08;0,11;2,00;1,17;1,19;0;;;;;
1Uj2_6JM_zuz;36;;;;;;;;;;1,03;1,03;1,21;1,00;1,14;1,19;2;;;;;
1Uj2_6JM_zuz;37;;;;;;;;;;1,01;0,99;0,51;0,72;1,18;1,19;0;;;;;
1Uj2_6JM_zuz;38;;;;;;;;;;1,02;1,02;0,33;2,00;1,43;1,19;0;;;;;
1Uj2_6JM_zuz;39;;;;;;;;;;1,06;1,06;0,54;0,45;1,25;1,19;0;;;;;
1Uj2_6JM_zuz;40;;;;;;;;;;1,03;1,05;0,10;2,00;0,98;1,19;0;;;;;
1Uj2_6JM_zuz;41;;;;;;;;;;1,03;1,03;0,67;1,19;1,08;1,19;1;;;;;
1Uj2_6JM_zuz;42;;;;;;;;;;1,02;1,02;0,92;1,13;1,22;1,19;1;;;;;
1Uj2_6JM_zuz;43;;;;;;;;;;1,02;1,02;0,22;2,00;1,29;1,19;0;;;;;
1Uj2_6JM_zuz;44;;;;;;;;;;1,05;1,06;0,40;1,75;1,05;1,19;0;;;;;
1Uj2_6JM_zuz;45;;;;;;;;;;1,01;1,02;0,32;0,76;1,36;1,19;0;;;;;
1Uj2_6JM_zuz;46;;;;;;;;;;1,03;1,04;0,66;0,79;2,00;1,19;0;;;;;
1Uj2_6JM_zuz;47;;;;;;;;;;1,22;1,25;0,08;1,65;1,32;1,19;0;;;;;
1Uj2_6JM_zuz;48;;;;;;;;;;1,05;1,04;0,93;1,14;1,18;1,19;2;;;;;
1Uj2_6JM_zuz;49;;;;;;;;;;1,11;1,12;0,00;;1,16;1,19;0;;;;;
1Uj2_6JM_zuz;50;;;;;;;;;;1,07;1,09;0,20;0,28;1,61;1,19;0;;;;;
1Uj2_6JM_zuz;51;;;;;;;;;;1,10;1,12;0,04;2,00;1,20;1,19;0;;;;;
1Uj2_6JM_zuz;52;;;;;;;;;;1,02;1,02;0,91;0,81;1,09;1,19;5;;;;;
1Uj2_6JM_zuz;53;;;;;;;;;;1,07;1,08;0,08;0,87;1,47;1,19;0;;;;;
1Uj2_6JM_zuz;54;;;;;;;;;;1,04;1,07;0,01;2,00;1,41;1,19;0;;;;;
1Uj2_6JM_zuz;55;;;;;;;;;;1,04;1,02;0,75;1,79;1,28;1,19;2;;;;;
1Uj2_6JM_zuz;56;;;;;;;;;;1,09;1,11;0,35;0,89;1,02;1,19;0;;;;;
1Uj2_6JM_zuz;57;;;;;;;;;;1,14;1,17;0,00;;0,00;;0;;;;;
1Uj2_6JM_zuz;58;;;;;;;;;;0,98;0,98;;;;;0;;;;;
1Uj2_6JM_zuz;59;;;;;;;;;;1,01;1,02;0,14;1,07;0,99;1,19;0;;;;;
1Uj2_6JM_zuz;60;;;;;;;;;;1,02;1,03;0,23;2,00;1,03;1,19;0;;;;;
1Y5U_iZ4_Bo9;0;2;2;10716;14;86;3;3;3;3;1,01;1,02;1,20;1,15;1,10;1,01;;;;;;
1Y5U_iZ4_Bo9;1;;;;;;;;;;1,03;1,04;1,10;1,11;1,06;1,01;3;6;8;;;
1Y5U_iZ4_Bo9;2;;;;;;;;;;1,02;1,02;1,21;1,10;1,10;1,01;3;3;8;;;
1Y5U_iZ4_Bo9;3;;;;;;;;;;0,99;1,00;0,98;1,05;1,12;1,01;5;;;;;
1Y5U_iZ4_Bo9;4;;;;;;;;;;1,04;1,05;0,53;1,33;0,93;1,01;0;;;;;
1Y5U_iZ4_Bo9;5;;;;;;;;;;1,02;1,05;0,43;1,67;1,05;1,01;0;;;;;
1Y5U_iZ4_Bo9;6;;;;;;;;;;1,03;1,04;0,79;1,54;1,15;1,01;4;;;;;
1Y5U_iZ4_Bo9;7;;;;;;;;;;1,02;1,02;0,72;1,59;1,02;1,01;2;;;;;
1Y5U_iZ4_Bo9;8;;;;;;;;;;1,04;1,05;0,78;1,03;1,13;1,01;2;;;;;
1Y5U_iZ4_Bo9;9;;;;;;;;;;1,03;1,04;1,16;1,14;1,07;1,01;4;;;;;
1Y5U_iZ4_Bo9;10;;;;;;;;;;1,00;1,01;0,39;0,95;0,94;1,01;0;;;;;
1Y5U_iZ4_Bo9;11;;;;;;;;;;1,02;1,03;0,22;1,77;1,08;1,01;0;;;;;
1Y5U_iZ4_Bo9;12;;;;;;;;;;1,01;1,00;0,79;0,97;1,05;1,01;3;13;9;;;
1Y5U_iZ4_Bo9;13;;;;;;;;;;1,02;1,03;1,11;1,12;1,09;1,01;1;;;;;
1Y5U_iZ4_Bo9;14;;;;;;;;;;1,03;1,03;0,93;1,08;1,02;1,01;1;;;;;
1Y5U_iZ4_Bo9;15;;;;;;;;;;1,01;1,02;1,23;1,26;1,23;1,01;2;;;;;
1Y5U_iZ4_Bo9;16;;;;;;;;;;1,00;1,00;1,07;1,06;1,21;1,01;4;;;;;
1Y5U_iZ4_Bo9;17;;;;;;;;;;1,03;1,04;0,93;1,15;1,14;1,01;1;;;;;
1Y5U_iZ4_Bo9;18;;;;;;;;;;1,02;1,02;1,10;0,91;1,14;1,01;5;;;;;
1Y5U_iZ4_Bo9;19;;;;;;;;;;1,03;1,03;0,96;1,19;1,09;1,01;3;22;21;;;
1Y5U_iZ4_Bo9;20;;;;;;;;;;1,02;1,05;0,24;1,79;1,17;1,01;0;;;;;
1Y5U_iZ4_Bo9;21;;;;;;;;;;1,01;1,03;0,52;1,20;0,98;1,01;0;;;;;
1Y5U_iZ4_Bo9;22;;;;;;;;;;1,03;1,03;0,77;1,04;1,12;1,01;4;;;;;
1Y5U_iZ4_Bo9;23;;;;;;;;;;1,02;1,03;1,20;1,21;1,05;1,01;2;;;;;
1Y5U_iZ4_Bo9;24;;;;;;;;;;1,02;1,02;0,91;0,98;1,00;1,01;2;;;;;
1Y5U_iZ4_Bo9;25;;;;;;;;;;1,03;1,04;1,11;1,07;1,09;1,01;3;27;24;;;
1Y5U_iZ4_Bo9;26;;;;;;;;;;0,99;0,99;0,83;1,51;1,10;1,01;0;;;;;
1Y5U_iZ4_Bo9;27;;;;;;;;;;1,02;1,02;1,10;1,21;1,10;1,01;5;;;;;
1Y5U_iZ4_Bo9;28;;;;;;;;;;1,00;1,00;1,09;0,86;1,07;1,01;0;;;;;
1Y5U_iZ4_Bo9;29;;;;;;;;;;1,05;1,04;0,50;0,64;1,02;1,01;0;;;;;
1Y5U_iZ4_Bo9;30;;;;;;;;;;1,08;1,10;0,16;0,85;1,07;1,01;0;;;;;
1Y5U_iZ4_Bo9;31;;;;;;;;;;1,04;1,08;0,26;1,59;1,00;1,01;0;;;;;
1Y5U_iZ4_Bo9;32;;;;;;;;;;1,02;1,01;1,11;0,80;1,06;1,01;1;;;;;
1Y5U_iZ4_Bo9;33;;;;;;;;;;1,02;1,02;0,88;0,70;1,15;1,01;0;;;;;
1Y5U_iZ4_Bo9;34;;;;;;;;;;1,03;1,03;1,12;1,02;1,04;1,01;0;;;;;
1Y5U_iZ4_Bo9;35;;;;;;;;;;1,05;1,05;0,63;0,86;1,07;1,01;0;;;;;
1Y5U_iZ4_Bo9;36;;;;;;;;;;1,01;1,01;0,95;1,23;0,98;1,01;4;;;;;
1Y5U_iZ4_Bo9;37;;;;;;;;;;1,01;0,99;0,52;1,16;1,06;1,01;0;;;;;
1Y5U_iZ4_Bo9;38;;;;;;;;;;1,00;1,00;1,02;0,19;1,12;1,01;0;;;;;
1Y5U_iZ4_Bo9;39;;;;;;;;;;1,02;1,03;0,00;;1,27;1,01;0;;;;;
1Y5U_iZ4_Bo9;40;;;;;;;;;;0,98;1,00;0,00;2,00;2,00;1,01;0;;;;;
1Y5U_iZ4_Bo9;41;;;;;;;;;;1,00;1,01;0,92;0,96;1,12;1,01;0;;;;;
1Y5U_iZ4_Bo9;42;;;;;;;;;;1,01;1,01;0,16;2,00;1,03;1,01;0;;;;;
1Y5U_iZ4_Bo9;43;;;;;;;;;;1,00;1,00;0,35;1,65;1,12;1,01;0;;;;;
1Y5U_iZ4_Bo9;44;;;;;;;;;;1,03;1,04;0,92;1,60;1,06;1,01;0;;;;;
1Y5U_iZ4_Bo9;45;;;;;;;;;;0,99;0,99;0,30;1,08;1,11;1,01;0;;;;;
1Y5U_iZ4_Bo9;46;;;;;;;;;;1,01;1,00;0,00;2,00;1,43;1,01;0;;;;;
1Y5U_iZ4_Bo9;47;;;;;;;;;;1,17;1,19;;;;;0;;;;;
1Y5U_iZ4_Bo9;48;;;;;;;;;;1,03;1,03;0,91;1,26;1,07;1,01;1;;;;;
1Y5U_iZ4_Bo9;49;;;;;;;;;;1,04;1,05;0,00;;1,43;1,01;0;;;;;
1Y5U_iZ4_Bo9;50;;;;;;;;;;1,08;1,10;0,20;0,00;1,07;1,01;0;;;;;
1Y5U_iZ4_Bo9;51;;;;;;;;;;1,11;1,11;;;;;0;;;;;
1Y5U_iZ4_Bo9;52;;;;;;;;;;1,02;1,03;0,85;0,50;1,16;1,01;0;;;;;
1Y5U_iZ4_Bo9;53;;;;;;;;;;1,03;1,04;0,00;;1,11;1,01;0;;;;;
1Y5U_iZ4_Bo9;54;;;;;;;;;;1,06;1,07;0,00;;1,05;1,01;0;;;;;
1Y5U_iZ4_Bo9;55;;;;;;;;;;1,01;1,00;1,02;1,33;1,14;1,01;5;;;;;
1Y5U_iZ4_Bo9;56;;;;;;;;;;1,04;1,05;0,32;0,57;1,12;1,01;0;;;;;
1Y5U_iZ4_Bo9;57;;;;;;;;;;1,12;1,15;;;0,05;1,01;0;;;;;
1Y5U_iZ4_Bo9;58;;;;;;;;;;0,97;0,99;0,00;;0,00;;0;;;;;
1Y5U_iZ4_Bo9;59;;;;;;;;;;0,99;1,00;0,62;0,91;2,00;1,01;0;;;;;
1Y5U_iZ4_Bo9;60;;;;;;;;;;1,00;1,00;0,01;2,00;1,05;1,01;0;;;;;
1zh5_cyL_wwJ;0;1;1;14156;58;42;;3;3;3;1,05;1,07;1,04;1,09;1,02;1,03;;;;;;
1zh5_cyL_wwJ;1;;;;;;;;;;1,07;1,07;0,97;1,14;1,03;1,04;4;;;;;
1zh5_cyL_wwJ;2;;;;;;;;;;1,05;1,05;0,61;1,39;1,01;1,01;5;;;;;
1zh5_cyL_wwJ;3;;;;;;;;;;1,03;1,04;1,04;1,10;1,01;1,01;2;;;;;
